UIC,API,wtd_ft,bhp_m3,date_meas
000125202,10933824,3793,1342.399464822659,2024-04-15
000103282,13540893,14450,3055,2024-04-15
000125201,10933825,4064,0,2024-04-15
000125966,38940368,5731,0,2024-04-15
000125967,38940369,5784,1741.953544180556,2024-04-15
000125967,38940369,5784,1741.824991902777,2024-04-16
000125966,38940368,5731,0,2024-04-16
000125201,10933825,4064,0,2024-04-16
000103282,13540893,14450,3055,2024-04-16
000125202,10933824,3793,1336.523791817292,2024-04-16
