api,uictype,formation,injbot,slon,slat,1/2020,2/2020,3/2020,4/2020,5/2020,6/2020,7/2020,8/2020,9/2020,10/2020,11/2020,12/2020,1/2021,2/2021,3/2021,4/2021,5/2021,6/2021,7/2021,8/2021,9/2021,10/2021,11/2021,12/2021,1/2022,2/2022,3/2022,4/2022,5/2022,6/2022,7/2022,8/2022,9/2022,10/2022,11/2022,12/2022,1/2023,2/2023,3/2023,4/2023,5/2023,6/2023,7/2023,8/2023,9/2023,10/2023,11/2023,12/2023,1/2024
10933480,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,85320.0,125526.0,108405.0,133182.0,133797.0,0.0,44689.0,80163.0,52221.0,113850.0,22736.0,100904.0,148577.0,105149.0,69793.0,73521.0,52346.0,65858.0,51501.0,65231.0,39608.415100000006,0.0,31165.992000000002,23315.422085500002,103038.22929999999,114898.05500000002,70158.0,73521.0,91746.93998,159108.05299999999,71906.64480000001,0.0,0.0,0.0,14967.797999999999,86225.0,260044.0,19275.0,0.0,0.0,152472.9,457593.0,322064.0,244402.0,197400.0,210282.0,0
10933588,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,17545.0,137079.0,647952.0,960898.0,802287.0,780598.0,1003705.0,1014448.0,841184.0,661205.0,1227751.0,936958.0,912687.0,871394.0,882803.0,838618.0,924055.0,942264.0,763982.0,768046.0,714725.0,741593.0,928011.0,846037.0,596087.0,22044.0,0.0,0.0,411730.0,561728.0,549696.0,729714.0,826820.0,530469.0,570346.0,401177.0,455953.0,407127.0,442855.80000000005,450532.0,411127.0,440805.5,396965.0,417676.0,0
10933597,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,3381.0,43351.0,0.0,0.0,42124.0,1.0,0.0,0.0,0.0,643.0,84513.0,139639.0,200132.0,496873.0,299902.0,421416.0,346917.0,1295099.0,663398.0,462428.0,393401.0,392908.0,303668.0,920550.0,1023242.0,952490.0,890708.0,549322.0,1019410.0,730542.0,230532.0,183709.0,647507.0,429621.0,483048.0,315566.0,125362.0,48295.0,86538.0,142941.0,2280.0,0.0,148651.0,363316.0,0
38938499,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,34821.0,433063.0,459563.0,574057.0,504526.0,155168.0,178493.0,0.0,0.0,351032.0,314285.0,30205.0,380297.0,182976.0,147793.0,476966.0,70921.0,110819.0,0.0,289957.0,436108.0,473201.0,458743.0,373244.0,94040.0,92628.0,298394.0,623477.0,673807.0,732825.0,800280.0,349770.0,248239.6719,595334.0,137839.0,132633.0,111891.0,15036.0,37620.0,40858.0,279673.0,95388.0,14452.0,0
10933604,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,195699.0,717068.0,680384.0,739916.0,628263.0,887633.0,786975.0,689739.0,557102.0,862282.0,831270.0,963479.0,720382.0,836284.0,959986.0,611169.0,27911.0,490037.0,583409.0,643087.0,419908.0,837333.0,922469.0,810261.0,482785.0,0.0,1.0,5.0,372846.0,418818.0,352481.0,154115.0,127375.0,253063.0,123593.0,192612.0,120500.0,123539.0,312678.0,195336.0,142345.0,62585.0,207670.0,0
38934925,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0.0,44402.0,49511.0,3687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38935112,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,13443.0,19654.0,0.0,38353.0,49172.0,25498.0,37737.200000000004,70623.5,0.0,0.0,0.0,157012.0,168981.0,1205.0,257.0,0.0,0.0,120167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
38937871,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,27714.0,35875.0,70416.0,333053.0,81717.0,202073.0,270059.0,479552.0,617308.0,736662.0,688992.0,340239.0,680330.0,252088.0,769124.0,734561.0,523519.0,574257.0,658219.0,733507.0,0.0,632288.0,573394.0,287080.0,787444.0,673368.0,622377.0,177765.0,507787.0,552016.0,639406.0,717942.0,656833.0,458315.0,267154.0,394267.0,412637.0,859423.9289299998,979057.1226799998,783899.1137600001,420610.31873899995,0
10932442,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,66207.0,60529.0,55170.0,34101.0,66353.59999999999,61317.0,60435.0,56131.0,50685.0,56214.0,50854.0,52271.0,49631.0,50101.0,49977.0,44672.0,44519.0,44795.0,45257.0,44005.0,38580.0,42983.0,39745.0,42491.0,39940.0,26990.0,38407.0,34844.0,38483.0,36821.0,35313.0,35502.0,32870.0,38378.0,35119.0,29654.0,29231.0,28568.0,0
38937418,1,DEVONIAN|SILURIAN|MONTOYA|ELLENBURGER|FUSSELMAN|SIMPSON,17600,-104.0201241,31.9886215,0,0,0,0,0,0,0,0,0,0,0,0,76290.0,44898.0,198720.0,489829.0,459911.0,591151.0,601731.0,541940.0,599053.0,511740.0,439254.0,425804.0,268222.0,184934.18999999997,439915.67,442449.88,464384.4,439452.4,484930.26,497663.0,423483.97,441950.65,437908.25,451529.5,436138.5,400380.0,459713.0,437684.0,441732.0,386016.0,430581.0,440447.0,441031.0,468107.0,434872.0,439692.0,0
