eventID,year,month,day,LatReloc,LonReloc,depthReloc,mag,LatCat,LonCat,depthCat
texnet2017ymir,2017,12,15,31.38196,-103.49574,4.38,2.19,31.36241,-103.49773,5.232
texnet2017ymmy,2017,12,15,31.40449,-103.5035,2.907,1.57,31.41044,-103.49958,2.995
texnet2017ymoc,2017,12,15,31.08647,-103.50171,2.455,1.99,31.08826,-103.50085,2.584
texnet2017ymoq,2017,12,15,31.16396,-103.3027,7.184,2.92,31.16179,-103.30298,6.98
texnet2017ynxs,2017,12,16,31.22297,-103.53107,5.87,1.55,31.2227,-103.52568,9.654
texnet2017ypup,2017,12,17,31.30781,-103.43,9.982,1.55,31.30353,-103.42592,9.962
texnet2017ypvs,2017,12,17,31.38028,-103.47114,4.421,2,31.38077,-103.45479,4.615
texnet2017ypww,2017,12,17,31.06122,-103.34226,5.836,3.07,31.0589,-103.33642,5.437
texnet2017yrht,2017,12,18,31.39098,-103.47873,6.897,1.61,31.39273,-103.47517,8.317
texnet2017yrzq,2017,12,18,31.37854,-103.46914,4.628,2.23,31.35963,-103.46447,4.512
texnet2017ysno,2017,12,18,31.25777,-103.55825,7.056,1.91,31.24684,-103.57203,9.422
texnet2017ytmz,2017,12,19,31.13589,-103.24613,7.084,2.55,31.13865,-103.23453,6.054
texnet2017ytpa,2017,12,19,31.3849,-103.50096,4.068,1.34,31.40033,-103.51461,3.355
texnet2017yufd,2017,12,19,31.24608,-103.55629,5.853,1.54,31.23925,-103.56961,5.232
texnet2017yvdm,2017,12,20,31.2571,-103.56323,7.216,1.47,31.2365,-103.57926,7.803
texnet2017ywmu,2017,12,20,31.34773,-103.45858,3.924,1.58,31.35504,-103.4634,4.718
texnet2017ywyf,2017,12,21,31.41306,-103.61079,3.159,1.48,31.41297,-103.62116,3.381
texnet2017yxok,2017,12,21,31.41367,-103.58886,4.154,0.81,31.39965,-103.59056,5.18
texnet2017yyzd,2017,12,22,31.36833,-103.45613,4.214,1.39,31.36698,-103.45588,4.923
texnet2017yzdd,2017,12,22,31.44004,-103.57572,4.688,1.82,31.44354,-103.58118,4.024
texnet2017yzli,2017,12,22,31.25005,-103.55987,5.846,1.9,31.24569,-103.55783,7.905
texnet2017zckk,2017,12,24,31.26071,-103.4995,7.707,1.79,31.25946,-103.48815,9.448
texnet2017zcmt,2017,12,24,31.26191,-103.49928,8.401,1.47,31.26497,-103.49029,5.643
texnet2017zdeg,2017,12,24,31.39396,-103.48734,3.264,1.27,31.39572,-103.47222,4.641
texnet2017zdfo,2017,12,24,31.44013,-103.78204,7.756,1.71,31.43944,-103.78764,8.831
texnet2017zdfy,2017,12,24,31.43955,-103.78004,7.698,1.68,31.43027,-103.77366,6.157
texnet2017zein,2017,12,25,31.54433,-103.63801,4.592,1.53,31.54944,-103.65405,5.078
texnet2017zekn,2017,12,25,31.57916,-103.75262,5.343,2.05,31.57921,-103.75356,5.232
texnet2017zems,2017,12,25,31.37175,-103.50204,4.145,1.74,31.34678,-103.49989,3.175
texnet2017zemx,2017,12,25,31.37089,-103.50102,4.115,1.65,31.3523,-103.49667,4.615
texnet2017zeod,2017,12,25,31.36973,-103.50565,3.26,1.24,31.37345,-103.51919,2.969
texnet2017zeyg,2017,12,25,31.08333,-103.50871,1.534,2.36,31.0885,-103.50968,2.867
texnet2017zeyh,2017,12,25,31.08379,-103.50932,1.552,2.07,31.07862,-103.50835,0.219
texnet2017zfqm,2017,12,25,31.40547,-103.56029,3.042,1.67,31.39827,-103.56534,1.941
texnet2017zgag,2017,12,26,31.40623,-103.56141,3.073,1.71,31.39827,-103.56426,3.998
texnet2017zgaw,2017,12,26,31.40644,-103.56271,3.028,1.23,31.39804,-103.54843,3.407
texnet2017zgdd,2017,12,26,31.30038,-103.40645,5.679,1.3,31.2971,-103.43344,5.232
texnet2017zgeu,2017,12,26,31.53204,-103.25811,5.833,1.7,31.53851,-103.2396,6.98
texnet2017zgww,2017,12,26,31.15077,-103.4971,4.832,2.26,31.14044,-103.51982,6.826
texnet2017zhsx,2017,12,26,31.11754,-103.48288,4.908,1.66,31.1055,-103.49416,5.18
texnet2017zhyp,2017,12,27,31.40543,-103.57132,4.822,1.75,31.39276,-103.57392,3.381
texnet2017zhzf,2017,12,27,31.40348,-103.56793,4.615,1.69,31.41022,-103.53957,4.718
texnet2017zhzq,2017,12,27,31.4055,-103.56974,4.857,1.76,31.40218,-103.5656,3.972
texnet2017zhzx,2017,12,27,31.15836,-103.30301,7.505,1.63,31.16041,-103.30567,8.882
texnet2017ziah,2017,12,27,31.40562,-103.57263,4.74,1.74,31.39827,-103.56534,2.969
texnet2017ziha,2017,12,27,31.40596,-103.56974,4.944,1.67,31.40103,-103.56963,2.867
texnet2017zihw,2017,12,27,31.39764,-103.52681,3.949,1.73,31.40011,-103.52562,3.998
texnet2017zikq,2017,12,27,31.39552,-103.55031,4.079,1.59,31.39184,-103.54816,3.998
texnet2017ziqz,2017,12,27,31.26325,-103.47417,9.214,1.69,31.25601,-103.4836,9.422
texnet2017zitb,2017,12,27,31.39712,-103.49653,2.041,1.99,31.38608,-103.51086,1.093
texnet2017zjkq,2017,12,27,31.16518,-103.33252,6.029,1.95,31.18846,-103.30934,5.849
texnet2017zjoh,2017,12,27,31.1651,-103.33251,5.962,2.79,31.18114,-103.32971,6.774
texnet2017zmup,2017,12,29,31.23943,-103.62003,8.487,1.59,31.2374,-103.62105,8.214
texnet2017zndw,2017,12,29,31.12708,-103.21148,5.795,2.25,31.12016,-103.19393,5.54
texnet2017zobb,2017,12,30,31.22268,-103.52829,5.668,0.96,31.21214,-103.53908,7.443
texnet2017zoea,2017,12,30,31.41146,-103.54638,3.238,1.53,31.41206,-103.54816,3.381
texnet2017zood,2017,12,30,31.52296,-103.28109,6.05,1.93,31.51838,-103.27729,6.054
texnet2017zova,2017,12,30,31.17309,-103.2674,7.33,1.87,31.17733,-103.26439,6.98
texnet2017zowu,2017,12,30,31.17608,-103.25063,5.479,2.19,31.17269,-103.24406,6.363
