UIC,API,inj_date,vol_bbls,cmpl_top,cmpl_bot,UIC_type,wtd_ft,slon,slat
000115022,47530673,2023-12-25,18222.41796875,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-25,12715.06640625,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-25,24615.6875,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-25,18210.490234375,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-26,8654.931640625,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-26,16917,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-26,19667,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-26,18358.65625,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-26,12470.59765625,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-26,23611.544921875,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-26,18860.099609375,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-27,10478.65625,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-27,20005,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-27,19209,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-27,18347.27734375,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-27,12135.6875,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-27,23525.20703125,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-27,18177.7109375,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-28,11378.548828125,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-28,22026,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-28,19438,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-28,18518.58984375,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-28,12630.91796875,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-28,24904.234375,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-28,18457,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-29,10575.31640625,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-29,20636,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-29,19080,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-29,18388.296875,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-29,12471.06640625,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-29,24153.69921875,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-29,18326.298828125,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-30,10866.97265625,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-30,21406,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-30,19225,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-30,18425.390625,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-30,12260.572265625,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-30,23811.671875,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-30,18642.048828125,6168,7070,1,7200,-103.3829554,31.49836815
000109778,47536617,2023-12-31,10891.96875,6947,7132,2,7261,-103.2793,31.4390476
000116096,47538334,2023-12-31,21794,6540,8200,1,8304,-103.27487752,31.44260098
000119372,47538536,2023-12-31,19403,7420,8305,1,8420,-103.292128,31.431788
000115022,47530673,2023-12-31,18461.15234375,6500,8280,2,17860,-103.29132834,31.4245144
000112641,47537525,2023-12-31,12437.220703125,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2023-12-31,24626.39453125,6510,8200,1,8400,-103.307794,31.435014
000107804,47536733,2023-12-31,18495.634765625,6168,7070,1,7200,-103.3829554,31.49836815
000088857,47533126,2024-01-01,89,5044,5360,2,7050,-103.14654487,31.47532784
000107804,47536733,2024-01-01,18896.0859375,6168,7070,1,7200,-103.3829554,31.49836815
000112641,47537525,2024-01-01,12565.5,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2024-01-01,24948.73828125,6510,8200,1,8400,-103.307794,31.435014
000115022,47530673,2024-01-01,18591.640625,6500,8280,2,17860,-103.29132834,31.4245144
000116096,47538334,2024-01-01,22840,6540,8200,1,8304,-103.27487752,31.44260098
000109778,47536617,2024-01-01,11168.072265625,6947,7132,2,7261,-103.2793,31.4390476
000088857,47533126,2024-01-02,142,5044,5360,2,7050,-103.14654487,31.47532784
000107804,47536733,2024-01-02,18078.361328125,6168,7070,1,7200,-103.3829554,31.49836815
000112641,47537525,2024-01-02,12402.36328125,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2024-01-02,25670.677734375,6510,8200,1,8400,-103.307794,31.435014
000115022,47530673,2024-01-02,18508.1328125,6500,8280,2,17860,-103.29132834,31.4245144
000116096,47538334,2024-01-02,22981,6540,8200,1,8304,-103.27487752,31.44260098
000109778,47536617,2024-01-02,11095.3046875,6947,7132,2,7261,-103.2793,31.4390476
000088857,47533126,2024-01-03,94,5044,5360,2,7050,-103.14654487,31.47532784
000107804,47536733,2024-01-03,17934.091796875,6168,7070,1,7200,-103.3829554,31.49836815
000112641,47537525,2024-01-03,12554.4296875,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2024-01-03,25303.5234375,6510,8200,1,8400,-103.307794,31.435014
000115022,47530673,2024-01-03,18309.0859375,6500,8280,2,17860,-103.29132834,31.4245144
000116096,47538334,2024-01-03,22785,6540,8200,1,8304,-103.27487752,31.44260098
000109778,47536617,2024-01-03,10898.52734375,6947,7132,2,7261,-103.2793,31.4390476
000088857,47533126,2024-01-04,129,5044,5360,2,7050,-103.14654487,31.47532784
000107804,47536733,2024-01-04,17487.099609375,6168,7070,1,7200,-103.3829554,31.49836815
000112641,47537525,2024-01-04,12320.974609375,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2024-01-04,24906.142578125,6510,8200,1,8400,-103.307794,31.435014
000115022,47530673,2024-01-04,18304.4375,6500,8280,2,17860,-103.29132834,31.4245144
000116096,47538334,2024-01-04,23705,6540,8200,1,8304,-103.27487752,31.44260098
000109778,47536617,2024-01-04,11195.4296875,6947,7132,2,7261,-103.2793,31.4390476
000088857,47533126,2024-01-05,92,5044,5360,2,7050,-103.14654487,31.47532784
000107804,47536733,2024-01-05,17201.31640625,6168,7070,1,7200,-103.3829554,31.49836815
000112641,47537525,2024-01-05,12305.4111328125,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2024-01-05,24261.80859375,6510,8200,1,8400,-103.307794,31.435014
000115022,47530673,2024-01-05,18515.140625,6500,8280,2,17860,-103.29132834,31.4245144
000116096,47538334,2024-01-05,24265,6540,8200,1,8304,-103.27487752,31.44260098
000109778,47536617,2024-01-05,11389.642578125,6947,7132,2,7261,-103.2793,31.4390476
000088857,47533126,2024-01-06,89,5044,5360,2,7050,-103.14654487,31.47532784
000107804,47536733,2024-01-06,17873.458984375,6168,7070,1,7200,-103.3829554,31.49836815
000112641,47537525,2024-01-06,12529.0859375,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2024-01-06,23834.765625,6510,8200,1,8400,-103.307794,31.435014
000115022,47530673,2024-01-06,18740.1875,6500,8280,2,17860,-103.29132834,31.4245144
000116096,47538334,2024-01-06,23860,6540,8200,1,8304,-103.27487752,31.44260098
000109778,47536617,2024-01-06,11130.37890625,6947,7132,2,7261,-103.2793,31.4390476
000088857,47533126,2024-01-07,89,5044,5360,2,7050,-103.14654487,31.47532784
000107804,47536733,2024-01-07,18440.6796875,6168,7070,1,7200,-103.3829554,31.49836815
000112641,47537525,2024-01-07,12347.876953125,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2024-01-07,16997.13671875,6510,8200,1,8400,-103.307794,31.435014
000115022,47530673,2024-01-07,18531.796875,6500,8280,2,17860,-103.29132834,31.4245144
000116096,47538334,2024-01-07,24504,6540,8200,1,8304,-103.27487752,31.44260098
000109778,47536617,2024-01-07,11355.65625,6947,7132,2,7261,-103.2793,31.4390476
000088857,47533126,2024-01-08,89,5044,5360,2,7050,-103.14654487,31.47532784
000107804,47536733,2024-01-08,17407.865234375,6168,7070,1,7200,-103.3829554,31.49836815
000112641,47537525,2024-01-08,11903.623046875,6510,7100,1,7175,-103.3910146,31.49489689
000116514,47537674,2024-01-08,9824.345703125,6510,8200,1,8400,-103.307794,31.435014
000115022,47530673,2024-01-08,14255.953125,6500,8280,2,17860,-103.29132834,31.4245144
000116096,47538334,2024-01-08,15120,6540,8200,1,8304,-103.27487752,31.44260098
000109778,47536617,2024-01-08,532.966796875,6947,7132,2,7261,-103.2793,31.4390476
000088857,47533126,2024-01-09,144,5044,5360,2,7050,-103.14654487,31.47532784
000107804,47536733,2024-01-09,18243.375,6168,7070,1,7200,-103.3829554,31.49836815
