network,station,longitude,latitude,affiliation,archive,location,place,elevation,enddate,startdate,label
ZW,IKWT,-96.925613,32.842751,,,,,230,2015-01-17,2015-01-06,Decomissioned
ZW,ILYC,-96.951874,32.82336,,,,,230,2015-01-17,2015-01-06,Decomissioned
ZW,INWW,-96.881569,32.854172,,,,,230,2015-01-17,2015-01-07,Decomissioned
ZW,IPDM,-96.951889,32.815788,,,,,230,2015-01-17,2015-01-06,Decomissioned
ZW,ITL2,-96.891518,32.84024,,,,,230,2017-12-31,2014-01-06,Decomissioned
ZW,ITL3,-96.906403,32.851299,,,,,230,2015-01-17,2014-01-06,Decomissioned
ZW,IUD1,-96.916397,32.841999,,,,,230,2015-01-17,2014-01-06,Decomissioned
ZW,IUD2,-96.926697,32.851398,,,,,230,2015-01-17,2014-01-06,Decomissioned
ZW,IUD3,-96.932701,32.8447,,,,,230,2015-01-17,2014-01-06,Decomissioned
4F,FWTW,-97.2785,32.7347,,,,,185,2021-08-10,2017-11-28,Decomissioned
4F,V2600,-97.0995,32.5095,,,,,177,2023-12-31,2015-05-09,Decomissioned
4F,VALP,-97.1425,32.5202,,,,,195,2023-12-31,2017-03-09,Decomissioned
4F,VBB1,-97.2331,32.452,,,,,238,2023-12-31,2015-05-09,Decomissioned
4F,VMCM,-97.0809,32.4579,,,,,177,2023-12-31,2015-05-09,Decomissioned
4F,VNLC,-97.2036,32.5759,,,,,206,2023-12-31,2015-05-09,Decomissioned
4F,VSAB,-97.2303,32.4963,,,,,210,2023-12-31,2015-05-09,Decomissioned
4F,VVFD,-97.1031,32.4325,,,,,208,2023-12-31,2015-05-09,Decomissioned
4F,VPCC,-97.155098,32.462002,,,,,200,2022-12-31,2019-07-14,Decomissioned
4F,VBMS,-97.148499,32.498798,,,,,197,2017-11-30,2015-05-09,Decomissioned
4F,VPCK,-97.1659,32.4584,,,,,200,2019-07-15,2015-05-09,Decomissioned
NQ,AZCT,-97.561668,32.910278,,,,,223,2014-01-07,2013-12-14,Decomissioned
NQ,AZEP,-97.535378,32.963421,,,,,224,,2014-01-07,Other
NQ,AZFS,-97.529068,32.889141,,,,,220,2013-12-24,2013-12-11,Decomissioned
NQ,AZHS,-97.539719,32.929722,,,,,219,2016-12-15,2013-12-14,Decomissioned
NQ,AZNH,-97.590424,32.989052,,,,,273,,2013-12-23,Other
NQ,BRRD,-97.537849,32.99485,,,,,223,,2013-12-20,Other
NQ,BVFD,-97.522141,32.991669,,,,,223,2016-08-29,2015-03-25,Decomissioned
NQ,DAL,-96.784439,32.846661,,,,,187,2016-12-21,2016-06-17,Decomissioned
NQ,NLKCP,-96.967644,32.870941,,,,,148,2016-12-12,2015-01-08,Decomissioned
NQ,RESD,-97.578613,32.94194,,,,,223,2016-09-12,2013-12-14,Decomissioned
NQ,UDFB,-96.922523,32.848,,,,,145,2016-09-22,2015-01-12,Decomissioned
NQ,UDKH,-96.916786,32.846939,,,,,145,,1988-12-31,Other
NQ,VAVE,-97.144112,32.519421,,,,,188,,2016-09-22,Other
NQ,VLBC,-97.190971,32.50539,,,,,229,2016-12-15,2015-05-11,Decomissioned
NQ,VMTW,-97.131889,32.462719,,,,,208,2016-12-20,2015-05-11,Decomissioned
NQ,VTAX,-97.143913,32.51968,,,,,203,,2015-05-11,Other
